Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
stand mixer,1,1,49500,84,0.44,https://www.kitchenaid.com/countertop-appliances/stand-mixers.html,12276,0.45,5401.00,1,90500000,"[67,55,45,67,67,45,24,36,67,67,30,24]",2023-04-07,"Site links, Video, Image, People also ask, FAQ, Indented, Related searches",commercial,Organic
stand mixer pasta press,1,1,12100,51,0.00,https://www.kitchenaid.com/countertop-appliances/stand-mixers/attachments/p.gourmet-pasta-press.ksmpexta.html,3000,0.11,0.00,0.01,8830000,"[66,66,66,100,81,81,13,4,2,2,7,3]",2023-04-08,"Knowledge panel, Image pack, Reviews, Video, Image, Video Carousel, Indented, Related searches, See results about",informational,Organic
food processor vs blender,1,1,12100,50,0.19,https://www.kitchenaid.com/pinch-of-help/countertop-appliances/difference-between-food-processor-and-blender.html,3000,0.11,570.00,1,26800000,"[54,54,44,54,54,66,54,66,81,81,66,54]",2023-04-07,"Site links, Video, Image, People also ask, FAQ, Recipes, Indented, Related searches",informational,Organic
espresso vs coffee,1,0,8100,56,0.27,https://www.kitchenaid.com/pinch-of-help/countertop-appliances/coffee-vs-espresso.html,2008,0.07,542.00,0.05,220000000,"[66,66,81,66,66,100,100,81,100,100,100,81]",2023-04-07,"Site links, Video, Featured snippet, People also ask, FAQ, Related searches","commercial, informational",Organic
stand mixer food grinder,2,3,14800,58,0.56,https://www.kitchenaid.com/countertop-appliances/stand-mixers/attachments/p.metal-food-grinder-attachment.ksmmga.html,1953,0.07,1094.00,0.02,93,"[36,36,36,54,44,100,7,8,8,3,3,3]",2023-04-07,"Knowledge panel, Reviews, Video, Image, People also ask, Indented, Related searches, See results about",informational,Organic
mixer,9,8,60500,70,0.51,https://www.kitchenaid.com/countertop-appliances/stand-mixers.html,1452,0.05,740.00,0.96,486000000,"[66,81,54,54,66,54,100,66,100,81,54,54]",2023-04-07,"Site links, Video, Image, Indented, Related searches",commercial,Organic
convection bake vs bake,1,1,4400,53,0.45,https://www.kitchenaid.com/pinch-of-help/major-appliances/convection-bake-vs-bake.html,1091,0.04,491.00,0,0,"[54,43,43,54,81,54,66,81,100,100,66,54]",2023-04-01,"Carousel, Video, Featured snippet, People also ask, FAQ",informational,Organic
kithenaide dishwasher,1,1,4400,51,1.72,https://www.kitchenaid.com/major-appliances/dishwashers.html,1091,0.04,1876.00,1,86,"[100,100,100,100,100,100,100,0,0,0,0,0]",2023-04-07,"Site links, Video, Image, AdWords top, Shopping ads, People also ask, FAQ, Indented, Related searches",commercial,Organic
kdtm404kps,1,1,4400,45,2.19,https://www.kitchenaid.com/major-appliances/dishwashers/integrated-control/p.44-dba-dishwasher-in-printshield-finish-with-freeflex-third-rack.kdtm404kps.html,1091,0.04,2389.00,1,48700,"[66,66,44,44,44,44,44,81,66,81,66,54]",2023-04-07,"Knowledge panel, Site links, Video, Image, Related products, Related searches",informational,Organic
cold brew vs iced coffee,1,1,5400,50,0.07,https://www.kitchenaid.com/pinch-of-help/countertop-appliances/cold-brew-vs-iced-coffee.html,1339,0.04,93.00,0.08,25000000,"[54,66,66,100,100,81,81,54,54,44,66,54]",2023-04-08,"Reviews, Video, Featured snippet, People also ask, Related searches","commercial, informational",Organic
stand mixer food grinder,3,0,14800,58,0.56,https://www.kitchenaid.com/countertop-appliances/stand-mixers/attachments/p.stand-mixer-metal-food-grinder-attachment.ksmmga.html,1213,0.04,679.00,0.02,93,"[36,36,36,54,44,100,7,8,8,3,3,3]",2023-04-07,"Knowledge panel, Reviews, Video, Image, People also ask, Indented, Related searches, See results about",informational,Organic
blender vs food processor,1,1,4400,50,0.19,https://www.kitchenaid.com/pinch-of-help/countertop-appliances/difference-between-food-processor-and-blender.html,1091,0.04,207.00,1,33300000,"[66,29,35,44,54,44,44,100,44,23,44,81]",2023-04-01,"Site links, Video, Featured snippet, Image, People also ask, FAQ",informational,Organic
difference between espresso and coffee,1,1,3600,57,0.05,https://www.kitchenaid.com/pinch-of-help/countertop-appliances/coffee-vs-espresso.html,892,0.03,44.00,0.04,33500000,"[81,65,65,65,65,54,81,100,81,81,65,81]",2023-04-01,"Site links, Reviews, Video, Featured snippet, People also ask, FAQ",informational,Organic
kitchen dishwasher,1,1,3600,49,1.72,https://www.kitchenaid.com/major-appliances/dishwashers.html,892,0.03,1535.00,1,126000000,"[100,100,53,53,66,53,53,66,44,53,100,35]",2023-04-01,"Site links, Video, Image, People also ask",commercial,Organic
krfc300ess,1,1,3600,43,1.63,https://www.kitchenaid.com/major-appliances/refrigeration/refrigerators/french-door-refrigerators/p.20-cu.-ft.-36-inch-width-counter-depth-french-door-refrigerator-with-interior-dispense.krfc300ess.html,892,0.03,1455.00,1,96900,"[100,66,66,66,53,81,66,53,66,44,53,53]",2023-04-04,"Knowledge panel, Video, Image",informational,Organic
gas vs electric stove,1,1,3600,54,0.34,https://www.kitchenaid.com/pinch-of-help/major-appliances/gas-vs-electric-stove.html,892,0.03,303.00,0.62,77300000,"[29,35,44,29,44,29,44,54,54,35,100,35]",2023-04-01,"Site links, Video, Image, People also ask, FAQ",commercial,Organic
glass tea kettle,1,1,2900,31,0.29,https://www.kitchenaid.com/countertop-appliances/kettles/electric-kettles/p.1.5-l-glass-tea-kettle.kek1322ss.html,719,0.02,208.00,1,30000000,"[53,44,35,44,35,35,35,53,81,81,81,44]",2023-04-03,"Video, Image, People also ask",commercial,Organic
how to clean electric kettle,1,1,2400,67,0.04,https://www.kitchenaid.com/pinch-of-help/countertop-appliances/how-to-clean-an-electric-kettle.html,595,0.02,23.00,0.04,22400000,"[66,66,52,52,52,52,66,66,66,100,80,100]",2023-04-04,"Site links, Reviews, Video, Featured snippet, People also ask, FAQ",informational,Organic
island stove,1,1,2400,38,0.93,https://www.kitchenaid.com/pinch-of-help/major-appliances/kitchen-island-with-range-or-cooktop.html,595,0.02,553.00,1,74300000,"[65,65,54,54,54,54,29,29,54,43,81,54]",2023-04-01,"Image pack, Site links, Video, Image, People also ask, FAQ","commercial, informational",Organic
food processor,10,11,110000,76,0.38,https://www.kitchenaid.com/countertop-appliances/food-processors/see-all.html,770,0.02,292.00,1,173000000,"[45,54,54,54,54,54,45,45,82,67,45,36]",2023-04-07,"Video, Image, Shopping ads, People also ask, FAQ, Recipes, Related searches",commercial,Organic
leavening agents,1,1,2900,50,0.31,https://www.kitchenaid.com/pinch-of-help/stand-mixers/four-types-of-bread-leavening-agents.html,719,0.02,222.00,0.04,1900000,"[81,100,53,29,18,24,53,66,66,66,66,66]",2023-04-05,"Knowledge panel, Site links, Video, Featured snippet, People also ask, FAQ",informational,Organic
