Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
restaurants near me,1,1,16600000,100,1.69,https://www.tripadvisor.com/Restaurants,2191200,1.98,3703128.00,0.03,61,"[81,81,81,81,81,81,66,66,54,66,66,66]",2023-04-16,"Local pack, Video, FAQ, Related searches",transactional,Organic
food near me,2,2,20400000,100,3.19,https://www.tripadvisor.com/Restaurants,1672800,1.51,5336232.00,0.03,60,"[81,81,81,81,100,81,81,81,66,81,66,66]",2023-04-16,"Local pack, Video, Recipes, Related searches",transactional,Organic
breakfast near me,4,0,4090000,92,3.60,https://www.tripadvisor.com/Restaurants-g34580-zfp2-Port_Saint_Lucie_Florida.html,179960,0.16,647856.00,0.05,1640000000,"[67,81,81,81,100,81,81,81,67,67,67,67]",2023-04-16,"Local pack, Video, Indented, Related searches",transactional,Organic
things to do near me,2,2,1220000,92,1.21,https://www.tripadvisor.com/Attractions,161040,0.14,194858.00,0.07,66,"[54,54,54,66,81,66,54,54,44,36,44,44]",2023-04-16,"FAQ, Indented, Related searches",transactional,Organic
chinese food near me,4,4,3350000,83,2.06,https://www.tripadvisor.com/Restaurants-c11-Chinese.html,147400,0.13,303644.00,0.02,51,"[54,54,54,54,54,54,66,66,54,66,54,54]",2023-04-16,"Local pack, Video, FAQ, Related searches",transactional,Organic
breakfast near me,5,4,4090000,92,3.60,https://www.tripadvisor.com/Restaurants-g55229-zfp2-Nashville_Davidson_County_Tennessee.html,143150,0.12,515340.00,0.05,1640000000,"[67,81,81,81,100,81,81,81,67,67,67,67]",2023-04-16,"Local pack, Video, Indented, Related searches",transactional,Organic
flights,10,10,6120000,100,0.77,https://www.tripadvisor.com/CheapFlightsHome,116280,0.1,89535.00,0.1,2510000000,"[81,81,100,66,66,66,81,66,81,66,100,81]",2023-04-16,"Knowledge panel, Site links, Video, Image, FAQ, Flights, Indented, Related searches",informational,Organic
things to do near me,3,0,1220000,92,1.21,https://www.tripadvisor.com/Attractions-g34543-Activities-Panama_City_Beach_Florida.html,100040,0.09,121048.00,0.07,66,"[54,54,54,66,81,66,54,54,44,36,44,44]",2023-04-16,"FAQ, Indented, Related searches",transactional,Organic
restaurant near me,1,1,823000,100,1.69,https://www.tripadvisor.com/Restaurants,108636,0.09,183594.00,0.03,81,"[67,82,82,82,100,82,82,82,100,67,67,67]",2023-04-16,"Local pack, Video, FAQ, Indented, Related searches",transactional,Organic
restaurants,1,1,823000,100,1.54,https://www.tripadvisor.com/Restaurants,108636,0.09,167299.00,0.03,4000000000,"[36,55,55,67,67,67,67,81,81,81,67,100]",2023-04-16,"Local pack, Image pack, Related searches",commercial,Organic
coffee near me,3,0,1220000,92,1.82,https://www.tripadvisor.com/Restaurants-g34471-c8-New_Smyrna_Beach_Florida.html,79300,0.07,144326.00,0.04,3210000000,"[67,81,81,100,100,100,100,100,81,67,100,81]",2023-04-16,"Local pack, Image, Indented, Related searches",transactional,Organic
fast food near me,6,10,2240000,80,2.27,https://www.tripadvisor.com/Restaurants-g55270-c10646-Pigeon_Forge_Tennessee.html,67200,0.06,152544.00,0.09,82,"[66,66,66,81,81,81,81,66,66,66,54,54]",2023-04-16,"Local pack, Video, Recipes, Indented, Related searches",transactional,Organic
food places near me,2,2,823000,100,2.64,https://www.tripadvisor.com/Restaurants,67486,0.06,178163.00,0.03,86,"[82,82,100,100,100,82,67,67,67,67,67,67]",2023-04-16,"Local pack, Video, FAQ, Recipes, Indented, Related searches",transactional,Organic
places to eat near me,1,1,1830000,100,2.29,https://www.tripadvisor.com/Restaurants,64050,0.05,146674.00,0.03,47,"[81,81,81,81,100,81,66,66,54,66,66,66]",2023-04-16,"Local pack, Video, People also ask, Indented, Related searches",transactional,Organic
brunch near me,2,2,673000,63,1.18,https://www.tripadvisor.com/Restaurants-g47770-zfp10606-Garden_City_Long_Island_New_York.html,55186,0.05,65119.00,0.03,411000000,"[81,100,100,81,100,81,81,81,66,66,81,100]",2023-04-16,"Local pack, Video, Indented, Related searches",transactional,Organic
best restaurants near me,1,1,450000,100,0.67,https://www.tripadvisor.com/Restaurants,59400,0.05,39798.00,0.04,38,"[81,81,81,81,100,100,81,81,81,100,66,81]",2023-04-16,"Local pack, Video, FAQ, Indented, Related searches",transactional,Organic
seafood near me,3,3,823000,90,1.73,https://www.tripadvisor.com/Restaurants-c33-Seafood.html,53495,0.04,92546.00,0.04,488000000,"[66,66,66,66,81,66,54,44,36,44,44,44]",2023-04-16,"Local pack, Indented, Related searches",transactional,Organic
indian restaurants near me,2,2,550000,67,1.75,https://www.tripadvisor.com/Restaurants-c24-Indian.html,45100,0.04,78925.00,0.05,85,"[55,45,36,36,45,45,45,100,67,67,36,36]",2023-04-16,"Local pack, Video, Indented, Related searches",transactional,Organic
dinner near me,1,1,368000,100,1.66,https://www.tripadvisor.com/Restaurants,48576,0.04,80636.00,0.03,61,"[81,81,81,81,81,81,81,81,66,66,81,81]",2023-04-16,"Local pack, Video, Indented, Related searches",transactional,Organic
mexican food near me,6,6,1500000,82,1.69,https://www.tripadvisor.com/Restaurants-g31310-c29-Phoenix_Arizona.html,45000,0.04,76050.00,0.02,94,"[81,81,81,81,81,81,66,66,66,66,66,66]",2023-04-16,"Local pack, Indented, Related searches",transactional,Organic
mexican food near me,5,5,1500000,82,1.69,https://www.tripadvisor.com/Restaurants-c29-Mexican.html,52500,0.04,88725.00,0.02,94,"[81,81,81,81,81,81,66,66,66,66,66,66]",2023-04-16,"Local pack, Indented, Related searches",transactional,Organic
seafood near me,4,4,823000,90,1.73,https://www.tripadvisor.com/Restaurants-g1479123-c33-Miramar_Beach_Destin_Florida.html,36212,0.03,62646.00,0.04,488000000,"[66,66,66,66,81,66,54,44,36,44,44,44]",2023-04-16,"Local pack, Indented, Related searches",transactional,Organic
mexican restaurant near me,3,3,550000,83,1.40,https://www.tripadvisor.com/Restaurants-c29-Mexican.html,35750,0.03,50050.00,0.02,279000000,"[66,66,81,81,81,81,66,66,54,66,66,66]",2023-04-16,"Local pack, FAQ, Indented, Related searches",transactional,Organic
thai food near me,4,4,1000000,71,1.62,https://www.tripadvisor.com/Restaurants-c39-Thai.html,44000,0.03,71280.00,0.02,89,"[100,82,82,82,82,82,100,100,82,82,100,100]",2023-04-16,"Local pack, Reviews, Video, FAQ, Recipes, Related searches",transactional,Organic
chinese near me,6,5,1220000,90,2.60,https://www.tripadvisor.com/Restaurants-c11-Chinese.html,36600,0.03,95160.00,0.02,75,"[81,81,81,81,100,81,81,81,81,100,81,81]",2023-04-16,"Local pack, Reviews, FAQ, Indented, Related searches",transactional,Organic
indian restaurants near me,3,3,550000,67,1.75,https://www.tripadvisor.com/Restaurants-g49369-c24-Morrisville_North_Carolina.html,35750,0.03,62562.00,0.05,85,"[55,45,36,36,45,45,45,100,67,67,36,36]",2023-04-16,"Local pack, Video, Indented, Related searches",transactional,Organic
sushi near me,8,9,1500000,79,1.70,https://www.tripadvisor.com/Restaurants-g49022-c38-Charlotte_North_Carolina.html,36000,0.03,61200.00,0.03,222000000,"[81,66,81,66,81,66,66,100,66,66,66,66]",2023-04-16,"Local pack, Indented, Related searches",transactional,Organic
