Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
posh,1,1,74000,78,0.35,https://poshmark.com/,9768,0.13,3418.00,0.24,237000000,"[100,100,81,66,66,81,81,66,81,100,81,100]",2023-04-07,"Instant answer, Local pack, Image pack, Site links, Image, AdWords top, People also ask, Related searches",commercial,Organic
hey dudes for women,2,21,27100,34,0.56,https://poshmark.com/brand/Hey_Dude-Women-Shoes,3577,0.05,2003.00,1,96,"[44,44,36,29,36,44,29,36,54,54,29,36]",2023-04-07,"Site links, Video, Image, AdWords top, Shopping ads, People also ask, Popular products, Related searches",commercial,Organic
old navy,39,39,7480000,94,0.12,https://poshmark.com/brand/Old_Navy,2244,0.03,269.00,0.36,90,"[67,67,67,67,67,67,67,67,100,82,45,45]",2023-04-07,"Local pack, Image, AdWords top, People also ask, Indented, Related searches, See results about",navigational,Organic
emerald green dress,6,6,40500,43,0.57,https://poshmark.com/browse/emerald-green-dress-for-wedding,1417,0.02,807.00,1,87400000,"[66,81,66,54,54,36,66,66,66,54,66,81]",2023-04-07,"Video, Image, Indented, Popular products, Related searches",commercial,Organic
adika,5,7,40500,69,1.45,https://poshmark.com/brand/Adika,1417,0.02,2055.00,1,2390000,"[44,36,30,30,24,24,20,13,24,16,16,13]",2023-04-07,"Knowledge panel, Image pack, Video, Image, People also ask, Indented, Related searches",informational,Organic
coaco,1,1,8100,19,0.56,https://poshmark.com/brand/Coaco,2008,0.02,1124.00,0.01,99,"[4,5,7,7,3,8,3,10,24,100,10,3]",2023-04-07,"Image pack, Reviews, Video, Image, Indented, Related searches",informational,Organic
used clothing,2,2,12100,84,0.71,https://poshmark.com/,1597,0.02,1134.00,0.86,2550000000,"[54,29,81,36,66,81,100,66,54,54,66,29]",2023-04-07,"Top stories, Site links, Image, People also ask, Indented, Related searches",commercial,Organic
balance athletica,2,2,14800,48,2.58,https://poshmark.com/brand/Balance_Athletica,1953,0.02,5040.00,1,2060000,"[100,44,24,13,8,10,7,7,8,4,5,3]",2023-04-07,"Image pack, Site links, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
denim and flower ricky singh,1,2,6600,32,0.34,https://poshmark.com/brand/Denim_&_Flower,1636,0.02,556.00,1,31,"[66,66,66,100,81,81,81,36,44,44,44,54]",2023-04-07,"Image pack, Image, Indented, Popular products, Related searches",commercial,Organic
oncloud,8,8,74000,69,2.15,https://poshmark.com/brand/oncloud,962,0.01,2068.00,1,117000000,"[44,44,44,44,54,54,54,54,100,81,67,81]",2023-04-08,"Knowledge panel, Image pack, Video, Image, AdWords top, Shopping ads, People also ask, FAQ, Related products, Related searches",commercial,Organic
blue and white jordans,3,3,14800,35,0.57,https://poshmark.com/browse/blue-and-white-jordans,962,0.01,548.00,1,55,"[54,44,66,29,100,66,29,24,36,54,81,81]",2023-04-07,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
black and white jordans,3,3,33100,32,0.54,https://poshmark.com/browse/black-and-white-jordans,794,0.01,428.00,1,63,"[66,36,54,29,66,54,44,44,66,66,36,36]",2023-04-07,"Image pack, Site links, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
waydamin,4,3,12100,9,2.63,https://poshmark.com/brand/waydamin-Women,786,0.01,2068.00,0.21,78,"[19,10,16,81,24,29,54,54,81,44,54,54]",2023-04-07,"Video, Image, People also ask, Related searches",informational,Organic
