Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
wallpaper,3,3,1220000,84,0.66,https://www.wayfair.com/decor-pillows/sb0/wallpaper-c1861000.html,79300,0.28,52338.00,1,6170000000,"[81,81,66,44,44,66,81,66,54,54,66,54]",2023-04-16,"Top stories, Image pack, Site links, Video, Image, Indented, Popular products, Related searches",commercial,Organic
bed frame,1,2,110000,83,1.40,https://www.wayfair.com/furniture/sb0/bed-frames-c296865.html,27280,0.09,38192.00,1,551000000,"[54,44,54,44,54,54,44,44,44,44,44,44]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
area rugs,1,1,110000,83,1.50,https://www.wayfair.com/rugs/sb0/area-rugs-c215386.html,27280,0.09,40920.00,1,115000000,"[81,54,54,54,54,66,54,81,66,54,66,81]",2023-04-16,"Site links, Video, Image, AdWords top, AdWords bottom, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
dining table,1,1,110000,81,1.04,https://www.wayfair.com/furniture/sb0/kitchen-dining-tables-c46129.html,27280,0.09,28371.00,1,697000000,"[81,67,81,67,81,100,81,67,100,67,67,67]",2023-04-16,"Site links, Video, Popular products, Related searches",commercial,Organic
futon bed,1,1,74000,79,0.62,https://www.wayfair.com/furniture/sb0/futons-c1780368.html,18352,0.06,11378.00,1,566000000,"[81,81,100,66,100,81,66,66,66,66,66,54]",2023-04-16,"Site links, Video, Image, Shopping ads, Popular products, Related searches",commercial,Organic
bedroom furniture,1,1,74000,79,1.38,https://www.wayfair.com/furniture/cat/bedroom-furniture-c45984.html,18352,0.06,25325.00,1,541000000,"[67,54,54,54,54,54,44,54,54,44,54,44]",2023-04-16,"Site links, Video, Image, Shopping ads, Indented, Popular products, Related searches",commercial,Organic
murphy bed,2,3,201000,76,1.00,https://www.wayfair.com/furniture/sb0/murphy-beds-c1870814.html,16482,0.06,16482.00,1,79500000,"[66,66,81,54,66,81,66,54,81,54,66,66]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
futon,2,2,201000,88,0.71,https://www.wayfair.com/furniture/cat/futons-daybeds-c413902.html,16482,0.06,11702.00,1,41800000,"[81,81,81,81,100,100,81,67,100,67,81,81]",2023-04-16,"Local pack, Site links, Video, Image, Popular products, Related searches",commercial,Organic
bar cart,1,1,74000,73,0.61,https://www.wayfair.com/furniture/sb0/bar-carts-c1773657.html,18352,0.06,11194.00,1,524000000,"[67,67,67,55,67,67,55,55,82,82,67,67]",2023-04-16,"Top stories, Site links, Video, Image, Popular products, Related searches",commercial,Organic
bathroom vanity,2,2,135000,77,1.09,https://www.wayfair.com/home-improvement/cat/bathroom-vanities-c215780.html,17820,0.06,19423.00,1,74700000,"[67,54,54,45,54,54,67,82,54,45,100,67]",2023-04-16,"Site links, Video, Image, AdWords top, AdWords bottom, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
bunk beds,2,2,110000,83,0.91,https://www.wayfair.com/baby-kids/sb0/bunk-beds-c414869.html,14520,0.05,13213.00,1,41100000,"[66,54,66,66,66,66,54,54,54,66,66,66]",2023-04-16,"Top stories, Site links, Video, Image, Shopping ads, FAQ, Indented, Popular products, Related searches",commercial,Organic
christmas trees,1,1,60500,89,0.57,https://www.wayfair.com/holiday-decor/cat/christmas-trees-c215432.html,15004,0.05,8552.00,1,366000000,"[1,1,1,1,3,4,7,16,66,44,6,2]",2023-04-16,"Image pack, Site links, Video, Image, FAQ, Indented, Popular products, Related searches",commercial,Organic
bed frames,1,3,60500,82,1.40,https://www.wayfair.com/furniture/sb0/bed-frames-c296865.html,15004,0.05,21005.00,1,185000000,"[66,54,54,66,66,66,54,54,66,54,66,66]",2023-04-16,"Site links, Video, Image, AdWords bottom, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
mayfair,1,1,60500,53,1.17,https://www.wayfair.com/brand/bnd/mayfair-b12518.html,15004,0.05,17554.00,0.31,65900000,"[100,81,81,100,81,100,100,100,100,100,100,44]",2023-04-16,"Local pack, Image pack, Site links, Video, Image, AdWords top, Related searches",commercial,Organic
sectional couch,2,3,110000,89,1.24,https://www.wayfair.com/furniture/sb0/sectionals-c413893.html,14520,0.05,18004.00,1,29700000,"[54,54,45,45,45,54,45,45,54,45,54,54]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
couch,3,3,246000,91,1.09,https://www.wayfair.com/furniture/sb0/sofas-c413892.html,15990,0.05,17429.00,1,1990000000,"[81,81,100,81,66,81,81,81,81,81,81,66]",2023-04-16,"Site links, Video, Image, FAQ, Indented, Popular products, Related searches",commercial,Organic
patio furniture,4,4,246000,94,1.07,https://www.wayfair.com/outdoor/cat/outdoor-patio-furniture-c33338.html,15990,0.05,17109.00,1,267000000,"[36,44,54,36,29,29,20,16,13,13,16,20]",2023-04-16,"Top stories, Site links, Video, Image, AdWords top, Shopping ads, Popular products, Related searches",commercial,Organic
sofa bed,2,2,110000,81,1.01,https://www.wayfair.com/furniture/sb0/sofa-beds-c413895.html,14520,0.05,14665.00,1,481000000,"[66,54,54,54,66,66,66,66,54,54,66,66]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
christmas tree,6,6,368000,90,0.57,https://www.wayfair.com/holiday-decor/cat/christmas-trees-c215432.html,11040,0.04,6292.00,1,1090000000,"[1,1,1,0,1,3,4,10,54,66,4,1]",2023-04-16,"Image pack, Site links, Video, Image, FAQ, Indented, Popular products, Related searches",commercial,Organic
bedroom sets,1,2,90500,77,1.12,https://www.wayfair.com/furniture/sb0/bedroom-sets-c46123.html,11946,0.04,13379.00,1,208000000,"[44,36,36,36,36,36,44,30,36,30,36,36]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
outdoor patio furniture,1,2,49500,92,1.26,https://www.wayfair.com/outdoor/cat/outdoor-patio-furniture-c33338.html,12276,0.04,15467.00,1,211000000,"[36,54,66,44,36,30,20,16,16,10,16,16]",2023-04-16,"Site links, Video, Image, AdWords bottom, People also ask, Popular products, Related searches",commercial,Organic
rugs,3,3,165000,89,1.86,https://www.wayfair.com/rugs/cat/rugs-c215385.html,13530,0.04,25165.00,1,591000000,"[81,81,54,54,67,100,67,67,81,67,67,67]",2023-04-16,"Site links, Video, Shopping ads, FAQ, Indented, Popular products, Related searches","commercial, informational",Organic
lighting,1,3,90500,85,1.76,https://www.wayfair.com/lighting/cat/lighting-c215735.html,11946,0.04,21024.00,1,3030000000,"[81,54,81,81,44,54,100,67,67,44,100,54]",2023-04-16,"Local pack, Site links, Video, Image, Popular products, Related searches",commercial,Organic
coffee bar,1,2,49500,65,0.36,https://www.wayfair.com/keyword.php?keyword=coffee+bar,12276,0.04,4419.00,1,937000000,"[100,81,66,54,81,44,66,66,66,81,100,81]",2023-04-16,"Local pack, Image pack, Site links, Video, Image, Indented, Popular products, Related searches",commercial,Organic
peel and stick wallpaper,3,3,135000,72,0.52,https://www.wayfair.com/decor-pillows/sb0/peel-stick-wallpaper-c1869004.html,11070,0.04,5756.00,1,40100000,"[54,44,44,44,81,54,54,44,44,36,100,54]",2023-04-16,"Image pack, Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
daybed,1,1,90500,80,0.77,https://www.wayfair.com/furniture/sb0/daybeds-c414873.html,11946,0.04,9198.00,1,41600000,"[100,67,67,67,82,100,67,67,67,82,100,55]",2023-04-16,"Site links, Video, Image, Shopping ads, Popular products, Related searches",commercial,Organic
futon couch,1,2,49500,79,0.76,https://www.wayfair.com/furniture/sb0/futons-c1780368.html,12276,0.04,9329.00,1,203000000,"[81,66,66,66,81,81,66,66,66,54,66,54]",2023-04-16,"Site links, Video, Image, AdWords top, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
day bed,1,1,74000,82,0.71,https://www.wayfair.com/furniture/sb0/daybeds-c414873.html,9768,0.03,6935.00,1,3880000000,"[81,66,81,66,81,81,66,66,66,81,81,81]",2023-04-16,"Site links, Video, Image, Shopping ads, People also ask, FAQ, Popular products, Related searches",commercial,Organic
console table,2,2,110000,73,0.87,https://www.wayfair.com/furniture/sb0/console-tables-c414605.html,9020,0.03,7847.00,1,611000000,"[54,45,45,45,45,67,54,45,54,45,54,54]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
tv recliner,1,1,40500,12,1.56,https://www.wayfair.com/keyword.php?keyword=tv+recliner,10044,0.03,15668.00,0.06,19300000,"[55,45,36,100,67,82,11,13,13,6,7,11]",2023-04-16,"Video, Image, FAQ, Indented, Popular products, Related searches",commercial,Organic
wall art,1,1,74000,81,0.90,https://www.wayfair.com/decor-pillows/sb0/wall-art-c215363.html,9768,0.03,8791.00,1,2310000000,"[67,67,54,54,54,67,67,54,67,44,67,44]",2023-04-16,"Image pack, Site links, Video, Image, Popular products, Related searches",commercial,Organic
fireplace,2,2,110000,76,1.26,https://www.wayfair.com/home-improvement/cat/fireplaces-stoves-c215398.html,9020,0.03,11365.00,1,271000000,"[45,36,36,36,36,45,54,67,67,100,54,45]",2023-04-16,"Knowledge panel, Top stories, Image pack, Site links, Image, Video Carousel, Popular products, Related searches","informational, transactional",Organic
entertainment center,1,1,74000,81,0.89,https://www.wayfair.com/furniture/sb1/tv-stands-entertainment-centers-c1868409-a94289~309709.html,9768,0.03,8693.00,1,1910000000,"[44,36,36,44,36,44,30,36,54,44,54,30]",2023-04-16,"Image pack, Site links, Video, Image, Popular products, Related searches",commercial,Organic
storage bench,1,3,40500,60,0.60,https://www.wayfair.com/storage-organization/sb0/storage-benches-c415938.html,10044,0.03,6026.00,1,182000000,"[36,30,30,24,36,36,36,30,36,36,45,30]",2023-04-16,"Site links, Video, Image, Popular products, Related searches",commercial,Organic
king size bed,1,1,74000,71,1.90,https://www.wayfair.com/furniture/sb1/king-size-beds-c46122-a115~128.html,9768,0.03,18559.00,1,473000000,"[82,67,67,67,67,67,67,67,67,67,82,67]",2023-04-16,"Site links, Video, Image, Shopping ads, People also ask, FAQ, Popular products, Related searches",commercial,Organic
bar stools,2,3,110000,82,1.28,https://www.wayfair.com/furniture/cat/bar-stools-counter-stools-c46134.html,9020,0.03,11545.00,1,63200000,"[67,67,67,54,67,67,54,54,67,54,54,54]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
furniture,4,4,246000,98,1.59,https://www.wayfair.com/furniture/cat/furniture-c45974.html,10824,0.03,17210.00,1,2230000000,"[66,54,66,66,66,66,44,44,44,44,81,66]",2023-04-16,"Local pack, Site links, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
dresser,6,6,246000,91,0.88,https://www.wayfair.com/furniture/sb0/dressers-chests-c46091.html,8610,0.03,7576.00,1,216000000,"[54,54,54,54,54,54,54,44,66,54,100,66]",2023-04-16,"Site links, Video, Image, Shopping ads, People also ask, FAQ, Popular products, Related searches",commercial,Organic
extendable dining table,1,2,22200,52,1.28,https://www.wayfair.com/keyword.php?keyword=extendable+dining+table,5505,0.02,7047.00,1,28100000,"[81,36,54,44,54,67,81,67,100,67,67,36]",2023-04-16,"Site links, Video, Image, People also ask, Popular products",commercial,Organic
counter height stools,1,1,27100,71,1.36,https://www.wayfair.com/furniture/sb0/counter-height-bar-stools-c1767664.html,6720,0.02,9140.00,1,24400000,"[66,54,54,54,66,81,54,54,54,66,54,44]",2023-04-16,"Site links, Video, Image, People also ask, FAQ, Popular products, Related searches",commercial,Organic
beds for sale,1,3,22200,55,2.39,https://www.wayfair.com/furniture/sb1/beds-on-sale-c46122-a69118~8.html,5505,0.02,13158.00,1,1610000000,"[54,54,54,54,54,54,54,66,54,44,54,54]",2023-04-16,"Local pack, Site links, Image, AdWords bottom, People also ask, FAQ, Popular products, Related searches",transactional,Organic
lounge chair,1,1,49500,61,0.82,https://www.wayfair.com/furniture/sb1/lounge-accent-chairs-c416225-a469~4774.html,6534,0.02,5357.00,1,529000000,"[44,54,66,66,54,44,44,54,44,44,54,36]",2023-04-16,"Image pack, Video, Image, Shopping ads, Indented, Popular products, Related searches",commercial,Organic
ottoman with storage,1,2,22200,63,0.57,https://www.wayfair.com/storage-organization/sb0/storage-ottomans-c46573.html,5505,0.02,3138.00,1,43100000,"[66,36,36,44,54,54,36,44,44,44,44,36]",2023-04-16,"Video, Image, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
king bed frame,3,2,74000,73,1.38,https://www.wayfair.com/furniture/sb1/king-bed-frames-c296865-a5896~16901.html,6068,0.02,8373.00,1,416000000,"[67,55,67,67,67,67,67,55,67,67,100,67]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
california king bed frame,1,2,22200,57,1.28,https://www.wayfair.com/furniture/sb1/california-king-beds-c46122-a115~129.html,5505,0.02,7047.00,1,31900000,"[54,44,36,29,54,44,54,44,54,29,44,44]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
toddler bed,3,3,90500,66,0.47,https://www.wayfair.com/baby-kids/sb0/toddler-beds-c421082.html,7421,0.02,3487.00,1,425000000,"[81,67,67,67,81,81,67,67,81,67,81,67]",2023-04-16,"Site links, Video, Image, FAQ, Indented, Popular products, Related searches",commercial,Organic
chaise lounge chair,1,1,33100,68,0.84,https://www.wayfair.com/furniture/sb0/chaise-lounge-chairs-c413911.html,8208,0.02,6895.00,1,48900000,"[81,100,81,100,81,66,66,54,66,66,81,54]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
outdoor furniture,2,4,201000,87,1.43,https://www.wayfair.com/outdoor/cat/outdoor-patio-furniture-c33338.html,7035,0.02,10060.00,1,653000000,"[54,66,81,54,44,36,30,24,24,20,24,30]",2023-04-16,"Top stories, Site links, Video, Image, Shopping ads, People also ask, Indented, Popular products, Related searches",commercial,Organic
cheap couches,1,1,22200,75,0.61,https://www.wayfair.com/keyword.php?keyword=cheap+couches,5505,0.02,3358.00,1,346000000,"[100,66,81,81,100,66,100,66,66,54,66,81]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
small sectional sofa,1,1,27100,39,0.98,https://www.wayfair.com/furniture/sb0/small-scale-sectionals-c1867353.html,6720,0.02,6586.00,1,23700000,"[66,54,66,54,66,66,66,54,66,54,66,66]",2023-04-17,"Video, Image, AdWords top, AdWords bottom, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
queen size bed,1,1,60500,68,1.13,https://www.wayfair.com/furniture/sb1/queen-size-beds-c46122-a115~127.html,7986,0.02,9024.00,1,642000000,"[66,66,81,66,81,100,66,66,66,66,100,66]",2023-04-16,"Site links, Video, Image, People also ask, FAQ, Indented, Popular products, Related searches",commercial,Organic
floor lamps,3,3,74000,81,0.58,https://www.wayfair.com/lighting/sb0/floor-lamps-c416504.html,6068,0.02,3519.00,1,114000000,"[44,20,20,20,30,24,24,24,36,30,44,36]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
outdoor rugs,2,1,60500,78,1.04,https://www.wayfair.com/rugs/sb0/outdoor-rugs-c478542.html,7986,0.02,8305.00,1,126000000,"[44,54,100,67,54,36,24,30,20,8,24,24]",2023-04-16,"Site links, Video, Image, AdWords bottom, People also ask, FAQ, Popular products, Related searches",commercial,Organic
trellis,2,3,74000,72,1.24,https://www.wayfair.com/outdoor/sb0/trellises-c417298.html,6068,0.02,7524.00,1,60300000,"[54,66,66,54,54,44,36,36,30,24,44,36]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",informational,Organic
coffee table,6,6,165000,72,0.83,https://www.wayfair.com/furniture/sb0/coffee-tables-c414602.html,5775,0.02,4793.00,1,1340000000,"[81,67,67,67,54,67,67,81,67,100,100,67]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
sectional,2,1,49500,86,1.23,https://www.wayfair.com/furniture/sb0/sectionals-c413893.html,6534,0.02,8036.00,1,307000000,"[45,55,36,45,36,45,36,55,45,45,55,45]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Indented, Popular products, Related searches",commercial,Organic
ceiling lights,1,2,27100,80,0.71,https://www.wayfair.com/lighting/cat/ceiling-lights-c215416.html,6720,0.02,4771.00,1,268000000,"[66,36,36,44,36,36,66,44,44,44,54,44]",2023-04-16,"Local pack, Site links, Video, Image, Shopping ads, People also ask, FAQ, Popular products, Related searches",commercial,Organic
chair and a half,1,1,22200,50,0.83,https://www.wayfair.com/furniture/sb1/chair-and-a-half-accent-chairs-c416225-a469~304880.html,5505,0.02,4569.00,1,582000000,"[54,44,54,44,44,54,54,54,81,66,66,54]",2023-04-16,"Site links, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
floating shelves,4,4,135000,77,0.68,https://www.wayfair.com/storage-organization/sb1/floating-wall-display-shelves-c45770-a68975~262782.html,5940,0.02,4039.00,1,33700000,"[67,67,67,54,67,67,54,67,67,67,82,54]",2023-04-16,"Image pack, Site links, Video, Image, Shopping ads, People also ask, FAQ, Popular products, Related searches",commercial,Organic
sleeper sofa,4,4,90500,85,1.14,https://www.wayfair.com/furniture/sb0/sofa-beds-c413895.html,5882,0.02,6706.00,1,20700000,"[67,67,67,67,67,100,54,67,81,67,81,67]",2023-04-16,"Site links, Video, Image, Shopping ads, People also ask, FAQ, Popular products, Related searches",commercial,Organic
white nightstand,1,1,22200,63,0.72,https://www.wayfair.com/furniture/sb1/white-nightstands-c46062-a156~220.html,5505,0.02,3964.00,1,97,"[54,54,44,54,36,44,54,66,44,36,44,54]",2023-04-16,"Site links, Video, Image, Popular products, Related searches",commercial,Organic
bathroom vanities,2,2,60500,79,1.09,https://www.wayfair.com/home-improvement/cat/bathroom-vanities-c215780.html,7986,0.02,8704.00,1,38900000,"[44,36,30,24,36,20,24,20,11,11,16,16]",2023-04-16,"Site links, Video, Image, Popular products, Related searches",commercial,Organic
living room sets,1,2,33100,74,0.98,https://www.wayfair.com/furniture/sb0/living-room-sets-c46145.html,8208,0.02,8044.00,1,2460000000,"[66,44,44,54,36,54,54,44,44,36,44,44]",2023-04-16,"Site links, Image, Video Carousel, FAQ, Indented, Popular products, Related searches",commercial,Organic
king headboard,1,1,22200,66,0.92,https://www.wayfair.com/furniture/sb1/king-headboards-c414870-a179~274.html,5505,0.02,5065.00,1,98,"[66,66,54,44,44,81,44,81,54,44,44,54]",2023-04-16,"Site links, Video, Image, FAQ, Indented, Popular products, Related searches",commercial,Organic
daybed with trundle,1,2,33100,60,1.00,https://www.wayfair.com/furniture/sb1/trundle-daybeds-c414873-a147651~480414.html,8208,0.02,8208.00,1,3260000,"[81,66,66,66,66,66,44,36,44,36,44,44]",2023-04-16,"Site links, Video, Image, AdWords top, Shopping ads, FAQ, Indented, Popular products, Related searches",commercial,Organic
tv stand,5,5,201000,85,0.71,https://www.wayfair.com/furniture/sb0/tv-stands-entertainment-centers-c1868409.html,7035,0.02,4994.00,1,2650000000,"[54,44,44,54,44,54,44,54,54,54,44,36]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
table,3,3,110000,82,0.37,https://www.wayfair.com/furniture/cat/dining-tables-seating-c1873843.html,7150,0.02,2645.00,0.99,9720000000,"[100,81,81,54,67,67,81,81,81,67,81,67]",2023-04-16,"Image pack, Site links, Video, Image, Popular products, Related searches",commercial,Organic
recliner chair,3,3,90500,84,0.93,https://www.wayfair.com/furniture/sb0/recliners-c413904.html,5882,0.02,5470.00,1,79600000,"[81,67,67,67,67,67,54,81,81,81,81,67]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
office furniture,1,1,60500,76,4.79,https://www.wayfair.com/furniture/cat/office-furniture-c332627.html,7986,0.02,38252.00,1,1180000000,"[67,67,67,55,55,67,55,55,67,45,55,55]",2023-04-16,"Site links, Video, Image, AdWords bottom, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
wall decor,2,2,49500,84,0.50,https://www.wayfair.com/decor-pillows/cat/wall-decor-c1801918.html,6534,0.02,3267.00,1,430000000,"[36,36,36,30,36,44,36,30,36,44,44,36]",2023-04-16,"Site links, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
rocking chair,2,2,60500,50,0.54,https://www.wayfair.com/furniture/sb0/rocking-chairs-c413906.html,7986,0.02,4312.00,1,51200000,"[55,55,55,55,55,55,55,45,55,67,55,45]",2023-04-16,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
loveseat,1,1,60500,80,0.75,https://www.wayfair.com/furniture/sb0/loveseats-c413896.html,7986,0.02,5989.00,1,42100000,"[67,45,55,55,67,55,36,67,55,45,55,36]",2023-04-16,"Site links, Video, Image, People also ask, FAQ, Popular products, Related searches",commercial,Organic
floating tv stand,1,1,27100,60,0.90,https://www.wayfair.com/furniture/sb1/floating-tv-stands-entertainment-centers-c1868409-a3331~382690.html,6720,0.02,6048.00,1,77,"[66,44,54,54,66,54,54,54,81,66,66,54]",2023-04-16,"Video, Image, Popular products, Related searches",commercial,Organic
chicken coop,4,4,135000,83,0.38,https://www.wayfair.com/pet/sb0/chicken-coops-c517137.html,5940,0.02,2257.00,1,44600000,"[67,81,67,54,44,44,36,44,30,36,100,81]",2023-04-16,"Local pack, Site links, Video, Image, Shopping ads, FAQ, Indented, Popular products",commercial,Organic
settee,1,1,22200,64,0.77,https://www.wayfair.com/furniture/sb1/settee-sofas-c413892-a94377~310040.html,5505,0.02,4239.00,1,13800000,"[67,67,67,67,54,67,54,54,67,54,67,54]",2023-04-16,"Image pack, Site links, Video, Image, People also ask, Popular products",commercial,Organic
california king bed,2,4,49500,56,1.78,https://www.wayfair.com/furniture/sb1/california-king-beds-c46122-a115~129.html,6534,0.02,11630.00,1,251000000,"[66,54,54,44,81,66,66,81,66,66,54,54]",2023-04-16,"Image pack, Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
kitchen mats,1,1,22200,66,0.84,https://www.wayfair.com/rugs/sb0/kitchen-mats-c1869859.html,5505,0.02,4624.00,1,105000000,"[66,44,66,100,81,54,44,20,29,44,44,44]",2023-04-16,"Site links, Video, Image, AdWords bottom, Shopping ads, FAQ, Indented, Popular products, Related searches",commercial,Organic
papasan chair,3,3,74000,66,0.34,https://www.wayfair.com/furniture/sb1/papasan-accent-chairs-c416225-a469~281286.html,6068,0.02,2063.00,1,4160000,"[54,54,54,44,54,67,54,44,81,54,54,44]",2023-04-16,"Image pack, Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
console tables,1,1,27100,70,0.87,https://www.wayfair.com/furniture/sb0/console-tables-c414605.html,6720,0.02,5847.00,1,149000000,"[81,100,13,66,24,81,30,24,20,16,20,10]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
vanity table,1,1,22200,73,1.20,https://www.wayfair.com/furniture/sb0/makeup-vanities-c332622.html,5505,0.02,6606.00,1,98800000,"[44,44,44,36,44,36,24,36,44,36,29,20]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Indented, Popular products, Related searches",commercial,Organic
sectional couches,2,3,60500,87,1.24,https://www.wayfair.com/furniture/sb0/sectionals-c413893.html,7986,0.02,9902.00,1,17000000,"[67,45,45,45,55,55,45,55,55,55,55,55]",2023-04-16,"Site links, Video, Image, Shopping ads, FAQ, Popular products, Related searches",commercial,Organic
dining tables,1,2,22200,81,1.04,https://www.wayfair.com/furniture/sb0/kitchen-dining-tables-c46129.html,5505,0.02,5725.00,1,216000000,"[44,100,36,66,36,66,44,81,66,29,36,36]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
queen bed frame with headboard,1,1,22200,66,1.26,https://www.wayfair.com/keyword.php?keyword=queen+bed+frame+with+headboard,5505,0.02,6937.00,1,95,"[67,67,44,44,54,81,100,67,54,54,44,54]",2023-04-16,"Site links, Video, Image, FAQ, Indented, Popular products, Related searches",commercial,Organic
dining table set for 6,1,1,22200,59,0.96,https://www.wayfair.com/furniture/sb1/seats-6-kitchen-dining-room-sets-c46025-a125321~399029.html,5505,0.02,5285.00,1,391000000,"[66,54,54,54,66,66,54,54,66,44,54,44]",2023-04-17,"Site links, Video, Image, Shopping ads, FAQ, Indented, Popular products, Related searches",commercial,Organic
storage ottoman,1,1,33100,59,0.57,https://www.wayfair.com/storage-organization/sb0/storage-ottomans-c46573.html,8208,0.02,4679.00,1,27100000,"[36,54,44,36,66,54,54,36,54,44,44,54]",2023-04-16,"Video, Image, Popular products, Related searches",commercial,Organic
king bed,1,1,49500,72,2.36,https://www.wayfair.com/furniture/sb1/king-size-beds-c46122-a115~128.html,6534,0.02,15420.00,1,11360000000,"[81,54,66,66,66,81,81,66,81,66,81,81]",2023-04-16,"Site links, Video, Image, Shopping ads, People also ask, Popular products",commercial,Organic
queen bed,1,1,60500,64,1.87,https://www.wayfair.com/furniture/sb1/queen-size-beds-c46122-a115~127.html,7986,0.02,14933.00,1,1440000000,"[66,44,66,81,81,54,54,54,54,54,54,54]",2023-04-16,"Site links, Video, Image, FAQ, Popular products, Related searches",commercial,Organic
canopy bed,1,1,49500,56,0.50,https://www.wayfair.com/furniture/sb0/canopy-beds-c1870816.html,6534,0.02,3267.00,1,64500000,"[67,55,36,36,55,45,36,45,36,36,36,45]",2023-04-16,"Image pack, Video, Image, FAQ, Indented, Popular products, Related searches",commercial,Organic
buffet table,1,1,27100,79,0.80,https://www.wayfair.com/furniture/sb0/sideboards-buffets-c215003.html,6720,0.02,5376.00,1,308000000,"[66,66,54,66,66,66,66,66,81,81,66,54]",2023-04-16,"Site links, Video, Image, People also ask, FAQ, Popular products, Related searches",commercial,Organic
christmas decorations,2,4,90500,89,0.51,https://www.wayfair.com/holiday-decor/cat/christmas-decorations-c215431.html,7421,0.02,3784.00,0.99,173000000,"[3,2,2,2,3,4,7,20,66,44,4,1]",2023-04-16,"Image pack, Site links, Video, Image, AdWords bottom, People also ask, FAQ, Popular products, Related searches",commercial,Organic
