Rank,Domain,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords,Adwords Traffic,Adwords Cost
1,wikipedia.org,79618595,1904177130,1498523137.00,9,1298,899.00
2,youtube.com,157684067,1021769341,689759600.00,2544,742825,1955741.00
3,amazon.com,73629146,817730914,588668248.00,730588,42385717,36903110.00
4,google.com,259364132,723866401,1216669358.00,16584,2026969,26050598.00
5,imdb.com,19843947,544935315,387382340.00,268,124922,75737.00
6,facebook.com,103535032,497307641,516786102.00,4543,1514076,1588232.00
7,pornhub.com,3514136,439822577,204992727.00,0,0,0.00
8,instagram.com,43230234,433180491,490228256.00,2394,6468904,41145232.00
9,fandom.com,24801776,277077589,88373342.00,15,14275,9149.00
10,pinterest.com,71397338,261262216,117711010.00,12,933,880.00
11,merriam-webster.com,4571097,242202089,237126314.00,143,60601,30443.00
12,walmart.com,34721447,228465955,178929271.00,51175,7696681,7111209.00
13,apple.com,24165110,222490731,254075045.00,34130,3090944,5681992.00
14,weather.com,2171876,219929509,35386192.00,4996,3932632,1169355.00
15,twitter.com,43014462,205595712,120267328.00,17,601,8481.00
16,yelp.com,38523093,194984408,303150573.00,1151,82175,209304.00
17,yahoo.com,32297894,186590581,194805168.00,6147,4277831,2404597.00
18,espn.com,5967754,154124244,100862093.00,1623,1634658,871498.00
19,britannica.com,9902159,152576390,136810879.00,5,784,963.00
20,homedepot.com,11420076,149899984,142650410.00,25347,3024619,1155106.00
21,mayoclinic.org,8772435,142106995,157097410.00,787,34365,84888.00
22,xnxx.com,3052347,139421139,29734919.00,0,0,0.00
23,tripadvisor.com,23618760,136469820,128072369.00,15527,555141,640406.00
24,nytimes.com,25256024,130521740,128102135.00,4318,335668,846002.00
25,rottentomatoes.com,5263076,125081489,85863997.00,7,4876,4829.00
26,reddit.com,53057994,124691737,74481622.00,214,4792,18816.00
27,dictionary.com,3770163,117304395,99604439.00,3,3691,821.00
28,mlb.com,2009620,115271332,60003460.00,1444,327017,220278.00
29,nfl.com,1693080,114727670,175270525.00,160,30200,45662.00
30,xvideos.com,3282726,113538300,36207510.00,0,0,0.00
31,target.com,14113884,111716570,77025542.00,1764,1400322,265359.00
32,etsy.com,27550102,111223315,76823948.00,3083,1384254,1737909.00
33,nba.com,1280095,107103994,189814389.00,4149,172941,554191.00
34,healthline.com,12909000,103091730,86328697.00,133,6270,17381.00
35,ebay.com,44825269,100779277,51849108.00,20570,240486,189215.00
36,cambridge.org,5112913,98538459,80704322.00,4,311,48.00
37,webmd.com,12848775,97668857,109729139.00,144,11985,62023.00
38,nih.gov,21461423,94090713,97570043.00,1,0,0.00
39,thesaurus.com,2019678,93790488,47454789.00,0,0,0.00
40,wiktionary.org,4282008,89123817,80114084.00,0,0,0.00
41,hotels.com,4666189,85437925,177683885.00,3788,201213,434720.00
42,cnn.com,14314036,82557058,57362016.00,23,4254,1907.00
43,linkedin.com,40701663,79379762,131067697.00,23014,384718,3405554.00
44,clevelandclinic.org,7619787,74807804,78753312.00,781,30035,59493.00
45,tiktok.com,31474310,72288201,73719289.00,4626,83293,2889092.00
46,craigslist.org,1744868,72278051,42688214.00,0,0,0.00
47,netflix.com,3444043,68959039,41668911.00,72,14516,19563.00
48,cdc.gov,7224745,66208662,66732261.00,5854,387756,178913.00
49,xhamster.com,2229872,65215324,30453971.00,0,0,0.00
50,collinsdictionary.com,3959736,64411758,39997953.00,0,0,0.00
51,bestbuy.com,6902919,63219839,54212113.00,10418,4213037,2233775.00
52,indeed.com,23722917,60831111,72104750.00,26675,2813274,1845141.00
53,zillow.com,9598546,60667213,23449110.00,19259,1874447,808531.00
54,spotify.com,9565175,59106462,99001798.00,1780,136365,2134031.00
55,microsoft.com,8845814,56918835,88027033.00,19550,679894,3141706.00
56,forbes.com,21062604,54194685,153125414.00,5436,279969,2993014.00
57,people.com,6598641,54031579,24909604.00,20,1896,1509.00
58,lowes.com,7119309,51349707,30141540.00,21603,2016116,977987.00
59,foxnews.com,4810919,50457597,44638293.00,358,23766,46427.00
60,ca.gov,7843594,48869521,62575134.00,62,5522,13689.00
61,quora.com,35179143,48322041,20106803.00,0,0,0.00
62,nike.com,1679782,46855865,29332763.00,7418,1230239,743088.00
63,usatoday.com,16642481,46704476,33930695.00,194,69081,145443.00
64,usps.com,1122250,46605990,22036399.00,2363,846198,647102.00
65,cnbc.com,8308097,45911837,74704178.00,204,3946,13115.00
66,urbandictionary.com,4474362,45833530,22766572.00,0,0,0.00
67,apartments.com,4840861,45271916,41958424.00,15111,1791738,1421120.00
68,macys.com,4904882,45172809,119290563.00,9101,1013977,4642309.00
69,timeanddate.com,1829418,45043932,15707716.00,0,0,0.00
70,cvs.com,3917199,43830046,42204613.00,171,2321,3495.00
71,vocabulary.com,2152670,43825790,32392529.00,28,4318,181.00
72,marriott.com,2837172,43645045,60857561.00,6283,604575,1537147.00
73,mapquest.com,26738736,43548376,25883957.00,236,3307,3587.00
74,genius.com,4510740,43468102,5165623.00,0,0,0.00
75,costco.com,6904214,43404476,30663763.00,404,67648,91887.00
76,walgreens.com,3599544,42888058,27762547.00,10745,858192,531615.00
77,irs.gov,3387902,42864239,72565401.00,0,0,0.00
78,medlineplus.gov,4633977,42415829,58830014.00,0,0,0.00
79,tvguide.com,4399492,42268476,26398214.00,0,0,0.00
80,medicalnewstoday.com,8661917,40798139,36238561.00,52,1402,4663.00
81,usnews.com,14269373,39712005,101649326.00,711,55909,952491.00
82,cbssports.com,4076021,38757381,31793979.00,0,0,0.00
83,allrecipes.com,3354787,36720051,14476684.00,0,0,0.00
84,realtor.com,8551196,36516318,27174337.00,13086,425992,483940.00
85,spankbang.com,1753222,36120694,4388453.00,0,0,0.00
86,foxsports.com,2763829,34853559,22398325.00,0,0,0.00
87,expedia.com,7255305,34605332,46741042.00,33356,2756894,4629136.00
88,nordstrom.com,3452898,34180567,37325604.00,2205,359299,70501.00
89,hilton.com,1809968,34137692,33003050.00,24422,2028970,4926294.00
90,doordash.com,3726080,33903341,70212207.00,6707,1387982,2527645.00
91,wayfair.com,5290112,33278132,32629425.00,32461,2162025,2629989.00
92,investopedia.com,5591752,32661635,69945954.00,0,0,0.00
93,foodnetwork.com,3538873,31269107,15109368.00,0,0,0.00
94,nhl.com,753195,30684681,35224704.00,1171,228384,640012.00
95,thefreedictionary.com,4003614,30411860,19098236.00,0,0,0.00
96,nps.gov,2788262,30331926,25426066.00,0,0,0.00
97,marketwatch.com,3039045,30303619,46927305.00,213,39378,44093.00
98,adobe.com,5321302,30124580,68074597.00,47889,1425917,9950776.00
99,hulu.com,1673553,30101103,51432823.00,2473,228150,586990.00
100,www.nhs.uk,5211384,29688058,32563383.00,0,0,0.00
101,onlyfans.com,393725,29228678,2620310.00,596,4165947,128050.00
102,kbb.com,2978141,28867235,28662115.00,1386,381214,369118.00
103,att.com,2200456,28376841,126369711.00,39593,1803392,10128207.00
104,themoviedb.org,2045353,27730851,11966540.00,0,0,0.00
105,wikihow.com,10768834,27522448,19398159.00,1,9,0.00
106,bbc.com,7312977,27480491,24099931.00,56,9686,10825.00
107,chase.com,1648665,27335960,56994446.00,13736,1582447,3907493.00
108,fedex.com,1279233,27249654,18608723.00,4294,391361,494065.00
109,hopkinsmedicine.org,4154919,27008157,28083762.00,1425,100698,150696.00
110,mcdonalds.com,741465,26846308,38015450.00,1828,339641,345889.00
111,ups.com,862806,26765057,16751005.00,484,49881,105862.00
112,nypost.com,8861925,26697303,18483994.00,3,122,476.00
113,t-mobile.com,2149648,26047578,79851520.00,25225,2246305,9927140.00
114,verizon.com,2355558,25949381,361136757.00,50857,1454624,22682443.00
115,steampowered.com,2088963,25743766,15497913.00,404,161342,144954.00
116,live.com,140666,25696590,16083122.00,0,0,0.00
117,kohls.com,3824353,25674060,54899551.00,31804,831331,2553280.00
118,theguardian.com,10618956,25502795,20348738.00,14,261,562.00
119,bleacherreport.com,4111304,24929008,15393480.00,59,13233,8144.00
120,toyota.com,799707,24826354,65432195.00,8513,1215189,3676523.00
121,bankofamerica.com,1893626,24669330,78963559.00,39381,1622717,7862678.00
122,speedtest.net,58446,24154539,20300617.00,0,0,0.00
123,ikea.com,2528540,23952965,10907549.00,3584,432588,132282.00
124,calculator.net,730645,23750971,13580827.00,0,0,0.00
125,samsclub.com,3562915,23635991,32891685.00,5985,1513249,2046721.00
126,xfinity.com,1807270,23596812,82367259.00,50563,1824390,20157793.00
127,history.com,2506200,23474972,18592054.00,362,33316,13603.00
128,fifa.com,357582,23333868,17522251.00,4,0,2.00
129,wellsfargo.com,1898321,23329433,133618115.00,3570,87287,827385.00
130,dailymail.co.uk,8315265,23302437,19508437.00,0,0,0.00
131,npr.org,8398628,23182093,14526932.00,220,92243,75275.00
132,screenrant.com,7631544,23142839,7161838.00,0,0,0.00
133,grubhub.com,3996403,22833315,30984438.00,11499,577525,837847.00
134,dominos.com,582127,22769250,14818816.00,1343,913735,548092.00
135,dickssportinggoods.com,2304091,22445715,12706431.00,1443,509479,82825.00
136,usmagazine.com,2774762,22429957,10638774.00,16,3254,2532.00
137,theathletic.com,3027738,22392749,18725947.00,56,13177,143041.00
138,giphy.com,1918507,22192507,2487190.00,0,0,0.00
139,businessinsider.com,12371560,21980115,26886654.00,60,403,957.00
140,cars.com,3312661,21906234,29408501.00,3480,405382,545638.00
141,ny.gov,5554380,21831724,21743084.00,13,1027,390.00
142,goodhousekeeping.com,6395086,21811248,15696292.00,2847,330819,152241.00
